"","x"
"1",-0.686239346581124
"2",-0.473270517634552
"3",-0.803974000367979
"4",1.71645461561902
"5",0.00315643848605807
"6",-0.244766530120429
"7",0.181135996770803
"8",1.32452589966644
"9",0.110479080701534
"10",-0.0747620786243934
"11",-0.479325295450918
"12",0.594319780673579
"13",1.32867877528202
"14",-0.600221000209645
"15",1.29085716840195
"16",0.638314101101214
"17",-0.523991029959682
"18",-0.117065848282106
"19",-0.071612761637302
"20",-0.788045955367649
"21",2.14977305605651
"22",0.631710154716627
"23",0.735469895872916
"24",0.730332829149788
"25",0.818582057162915
"26",-1.46778281682832
"27",1.55701492427701
"28",-0.127477866901341
"29",1.13404047154717
"30",-0.20960687620452
"31",-1.75711868173112
"32",-0.562997135116178
"33",-0.0920386353444491
"34",0.192762751501092
"35",-1.09508945812067
"36",-0.726031608562222
"37",0.0165018250418656
"38",0.092298873072748
"39",0.859056584355115
"40",-1.45287094187349
"41",1.02973207047063
"42",0.100561415345226
"43",0.334379867167016
"44",-0.93354069152304
"45",0.00934524030487914
"46",-0.196208364817383
"47",0.583284215291233
"48",0.70667398250601
"49",0.118748220938753
"50",0.894770890308972
"51",-1.1701847286591
"52",-1.55123609077671
"53",0.794196790960733
"54",-0.283292709314695
"55",0.167371502197904
"56",0.415060584232708
"57",-1.72027169913752
"58",0.799204282501083
"59",-0.776367396100299
"60",-0.105706823336375
"61",0.854140305431174
"62",0.399524773406854
"63",-0.921535664727051
"64",0.410993947501459
"65",0.366563794711244
"66",-0.638640278393874
"67",-0.029891340119923
"68",0.33121239282554
"69",-1.77957538922206
"70",-0.374646336742702
"71",-1.89855082036971
"72",1.16446635393445
"73",0.074555731789458
"74",-0.43140666821354
"75",-1.70716637972996
"76",0.550218105315544
"77",-0.000591859943400233
"78",0.356485524595114
"79",0.56914792449558
"80",0.726476900262923
"81",0.0706017692663774
"82",-0.124702504154634
"83",-0.292435638969736
"84",-1.77320867929178
"85",-1.27436507221444
"86",-1.82356020521478
"87",0.57526974889773
"88",0.203425375816453
"89",-1.41401859144979
"90",2.77639144455964
"91",0.503522848325394
"92",0.0398952497958344
"93",-0.145850511080948
"94",-3.11989466535424
"95",-0.152934858653277
"96",-0.997162795934186
"97",-0.112990328851624
"98",1.23320420517675
"99",0.449455511104369
"100",-0.28784338473474
"101",-0.966500361422638
"102",0.604762872266
"103",0.167203931226142
"104",-1.34163220940111
"105",-0.724338217631483
"106",1.11444999616894
"107",-0.401942449595479
"108",-1.48285744206175
"109",0.467499279695103
"110",0.650702001542163
"111",0.484929715137451
"112",-0.589212987230957
"113",-0.306449460152508
"114",-0.887581826268397
"115",0.155345761313489
"116",-1.77601127965513
"117",-2.2967120232998
"118",0.158756802176011
"119",-0.446475233537014
"120",-0.521756637960976
"121",-1.14742714730653
"122",0.3309946089595
"123",-1.48609701317157
"124",-0.132844402589244
"125",0.415669893012265
"126",-2.07629755548683
"127",-1.74936031750518
"128",0.823278353587893
"129",1.03684592160609
"130",-0.899907989735351
"131",-0.0305262308927198
"132",-0.141773623859464
"133",0.879203700165687
"134",-0.0718200772073214
"135",-0.465763825409891
"136",1.72675856112956
"137",-1.05530571259907
"138",-0.136171257186841
"139",-0.837906568895813
"140",-0.193963283204613
"141",-1.70664639404207
"142",-0.990822140614014
"143",0.868427528467954
"144",-0.275426118044896
"145",-0.375552571387767
"146",-1.50200918555347
"147",-0.959349856773629
"148",-1.5944047915803
"149",-0.0690379470867466
"150",-1.82640989453209
"151",-0.769954179294242
"152",-2.19510942000481
"153",0.070894070450235
"154",-0.693576621931227
"155",-0.130889862375575
"156",-0.797096157221218
"157",0.135641474846984
"158",-0.603752122986671
"159",-0.369171650261356
"160",-1.17667721979699
"161",1.12694237556954
"162",0.623662653876377
"163",-2.39282385996008
"164",-0.230503065946198
"165",-1.62915401057082
"166",0.298982045800266
"167",-2.1765080149336
"168",-1.06391212880436
"169",-1.78777920324665
"170",-0.937602821617051
"171",-1.73904874524239
"172",-1.60679418841493
"173",-0.726314235093117
"174",-1.39706162961473
"175",0.387780779948102
"176",-1.99146219722777
"177",-0.107112215312394
"178",-0.794132717776185
"179",-1.85723665898464
"180",-0.0150382126910817
"181",-1.24942481080835
"182",-0.584149915774018
"183",-0.669255660575355
"184",-1.01713185177161
"185",-2.15164089146272
"186",-1.57421112583826
"187",-1.66879614434513
"188",-0.744472055315486
