"","x"
"1",-1.48343162596786
"2",-0.249711971879128
"3",-1.93739348368889
"4",-0.498615821644725
"5",-0.130045797705779
"6",-0.789695479855444
"7",-1.4101058015969
"8",-0.734156970142932
"9",1.56859891403301
"10",1.20716282859046
"11",1.51232078831244
"12",-0.646681795726193
"13",-1.25969791796097
"14",0.813046735943002
"15",-0.185208742845969
"16",1.97457413606083
"17",1.23766922997877
"18",-0.203815351725269
"19",-0.210325711898404
"20",-1.71363959031212
"21",0.202986079822992
"22",-0.899188023731524
"23",0.510187390685274
"24",-1.7776457740531
"25",-1.32408601436653
"26",-1.31433041385211
"27",1.19645728270068
"28",0.557913960397952
"29",-1.09621566688815
"30",-0.44428269703428
"31",1.2899017886588
"32",-0.884864177229674
"33",-0.527016252106133
"34",0.0764134450081082
"35",-1.07629149534687
"36",2.27471510382235
"37",-1.53084038765226
"38",1.23038249388407
"39",1.28248295330381
"40",-0.115388643165981
"41",1.20962836745047
"42",0.237846226822744
"43",1.6177032723991
"44",0.0370167230203446
"45",-1.42075263386583
"46",0.511416522485856
"47",0.438883294108213
"48",0.786256267725128
"49",-0.358635533048352
"50",-0.646395301438888
"51",0.410228702712902
"52",-0.549473192656076
"53",-0.055048888999908
"54",-1.05238547231849
"55",-0.111539598081362
"56",-0.733081364423502
"57",1.12799298709953
"58",0.085200056154473
"59",-0.0279416674585386
"60",0.309298622693554
"61",-0.164314014379745
"62",-1.17823020336821
"63",1.57031576681213
"64",-0.825147788861621
"65",1.18784575934031
"66",0.30104586524591
"67",-0.562334489216727
"68",-0.460923075629443
"69",-1.0827315761197
"70",1.17206386971103
"71",1.07038270474645
"72",0.152264130357169
"73",-1.41268998006956
"74",-0.560512567632173
"75",0.611677799527429
"76",-2.43819652188645
"77",1.01921184351942
"78",0.0825309659889419
"79",-0.00405836799590941
"80",-0.0721043265628958
"81",-1.30068416125688
"82",0.171736309072134
"83",-0.840548143888792
"84",1.21220744586703
"85",0.616302440299407
"86",-0.460171059405479
"87",-1.49500010644362
"88",-0.831189721443979
"89",-0.559231883571966
"90",1.20772371297505
"91",-1.04177763343313
"92",-0.960121786982812
"93",0.858154887831661
"94",-0.83627828689614
"95",1.51320628532242
"96",-2.0817995612483
"97",1.06438002674187
"98",-1.17472625508504
"99",-0.316125340737978
"100",-1.15978778767149
"101",-0.537517391238119
"102",1.69355881627625
"103",-1.86106132645136
"104",-0.805498548298166
"105",0.707946648674129
"106",1.03293689612698
"107",-0.920019529168373
"108",1.06405018373702
"109",-1.42052470384605
"110",0.208728522779727
"111",0.12640038257886
"112",0.320645234260727
"113",-0.0999822718369491
"114",-1.05871983256072
"115",-0.810915344347396
"116",2.17724496199529
"117",-1.07134462639155
"118",-0.417716263717282
"119",-1.68814592120038
"120",-0.615605854269915
"121",-0.669109505585595
"122",-0.550874016023948
"123",-1.6206753529566
"124",0.249381474879265
"125",0.465349692539776
"126",-1.32094013280858
"127",-1.76765220225914
"128",-0.39309957403586
"129",0.0528213439462899
"130",0.402891610038928
"131",-1.69698860169287
"132",1.23444002198676
"133",-0.964351984098908
"134",-1.13701321200129
"135",-2.08270290199266
"136",0.236550916547609
"137",0.833093775319207
"138",-0.198292789132982
"139",-1.11362771348718
"140",-1.70733997211798
"141",-0.263301533776053
"142",0.385160555827333
"143",0.790283176136489
"144",-1.91115148828142
"145",1.32472164584721
"146",-0.412493027944957
"147",-0.165934656584918
"148",0.598706923571556
"149",-0.483563536238034
"150",0.00199238882996626
"151",0.0351560931341523
"152",-2.29486441382632
"153",-0.323907487424694
"154",-1.56930955179058
"155",-0.226414053299032
"156",-1.90200179926578
"157",-1.85760527771638
"158",1.35060844210008
"159",0.670788359634405
"160",0.411604785754187
"161",-0.478565705859318
"162",-1.1264482385584
"163",-1.41858863553582
"164",-1.13888815340254
"165",0.498769369624882
"166",-0.778061845519802
"167",-0.437789523001744
"168",-0.989935565332416
"169",-1.53736173119559
"170",1.19193451108563
"171",0.298033914014605
"172",-1.56191920521462
"173",-2.71922268208478
"174",0.00543704365462333
"175",-1.4747597875613
"176",-1.93611535231344
"177",-0.581352939960176
"178",1.09413835044539
"179",0.363875505534339
"180",-0.947655897757707
"181",0.161272159508577
"182",-0.754035079502172
"183",0.085949820675248
"184",-1.35082390758982
"185",-1.08744491097015
"186",-0.862922487268203
"187",-2.05250522063436
"188",0.750249884474924
"189",0.510557444990592
"190",0.0916295105586697
"191",-0.493049774614558
"192",-1.7089157917075
"193",-1.00167189102422
"194",-1.81228161129699
"195",-1.09965655501796
"196",-1.77071971752795
"197",1.91941218378327
"198",0.0415850306862263
"199",-0.0539783377727504
"200",-0.927740618656923
"201",0.71347851501054
"202",2.33362406433175
"203",2.27865775839146
"204",-1.31328014843909
"205",0.298213802996343
"206",1.49873901762673
"207",0.998883281999481
"208",-0.758113744920548
"209",0.448345861244153
"210",-1.82498584078588
"211",2.52616673950033
"212",-0.443214536067963
