"","x"
"1",-0.568435983479188
"2",0.318020308023928
"3",1.18796094398961
"4",-0.661670956178155
"5",-0.469809685029754
"6",-1.41917645616694
"7",-1.29632187869552
"8",-0.34333853363218
"9",0.644284152859365
"10",-0.423359257523519
"11",0.604066662716548
"12",0.872306824328605
"13",0.359661501905507
"14",-0.03694866240735
"15",-0.519947595930813
"16",-0.254709792026601
"17",-1.17437119608184
"18",-0.172054361594135
"19",1.33364238156887
"20",0.612631166066342
"21",-0.81420812785553
"22",-0.721852218013148
"23",0.880087718105441
"24",0.356654566651168
"25",0.0165123839875263
"26",-0.91858041988402
"27",-0.622996345840576
"28",0.213603235004666
"29",0.749702966646991
"30",-0.00913634407717822
"31",1.38647329618741
"32",-1.38278368219766
"33",-2.17229086140062
"34",0.13321151384493
"35",-1.44240860872559
"36",0.227607788353769
"37",1.26987128865369
"38",0.240792975825685
"39",0.0382523820084569
"40",-0.73279407366227
"41",-0.52399341324612
"42",-2.02911335160344
"43",-0.773678259103292
"44",0.678235026643469
"45",2.46653269875013
"46",-0.810515385505106
"47",-0.309320132620371
"48",-1.01995282890421
"49",-0.522600842068014
"50",-1.11645525662626
"51",-0.125965630264461
"52",-0.112359804376899
"53",-2.18696907004489
"54",0.287931291688416
"55",0.806192010227785
"56",-0.255880099262834
"57",0.216460976152173
"58",0.682164585824308
"59",0.211331784359427
"60",-1.44392850967793
"61",-1.03848196666916
"62",0.924683220749567
"63",0.6583269213701
"64",-0.139182922062751
"65",0.845832139354634
"66",-0.618920620338131
"67",-0.662185158313685
"68",0.298893012121134
"69",-0.859964423575915
"70",-1.0310017374815
"71",-2.16449894753582
"72",-0.565977125919937
"73",-0.817583670311655
"74",0.945631921592981
"75",0.238222327734972
"76",1.27484369548177
"77",0.0228945769088203
"78",-0.671983624117369
"79",-1.12674714502783
"80",-0.991640188129332
"81",0.441948027951422
"82",-0.218354092942931
"83",-0.905707836683808
"84",-1.84485974916395
"85",1.67905094468198
"86",0.160955689281828
"87",0.0620981902389043
"88",-0.239790854740094
"89",0.264397491573373
"90",1.00067793918286
"91",0.409684988524725
"92",-0.346462212809278
"93",0.582401668426976
"94",-0.440346634009684
"95",-0.858735493520775
"96",0.383664803265072
"97",0.442574278199983
"98",-0.256531441400572
"99",1.59673637522893
"100",-0.27761510295565
"101",-1.38131748275518
"102",-0.617811314649492
"103",-1.35797160735438
"104",0.350089804188506
"105",0.752796032586242
"106",-1.26031144891303
"107",-0.342817742583352
"108",-2.05404756312461
"109",-0.546612766076212
"110",-0.811062733054004
"111",0.192319257363569
"112",0.400074407255844
"113",-1.63586775760279
"114",-0.276756222796415
"115",-1.06516401518794
"116",-2.17922212341302
"117",-0.693350969677224
"118",-0.621337972228287
"119",0.0567294647697235
"120",-2.18251562229075
"121",0.358524632493235
"122",-2.06265501018609
"123",-0.620655819118462
"124",-0.391429652392991
"125",-0.599983047536197
"126",0.727282800615651
"127",-1.29996332997969
"128",1.74151781444741
"129",0.684601823280074
"130",-0.0417746697557902
"131",0.780134899439635
"132",1.56224653992222
"133",-0.157474212899919
"134",-1.64718146930694
"135",-0.912271507727011
"136",-0.191058111879298
"137",-0.676348735107718
"138",-1.97908286120849
"139",-0.00787756663347039
"140",-0.399459917786181
"141",-0.819703340280902
"142",0.0244336741353054
"143",0.35496027012212
"144",0.707610025748375
"145",1.1902683954033
"146",0.22112248465029
"147",-0.340005625544339
"148",-0.366700715151441
"149",-0.600788543182335
"150",-1.1718739282442
"151",0.64965826896036
"152",0.789390336804665
"153",0.403006916148262
"154",-1.84905813960896
"155",1.6136398067394
"156",-1.00758756962597
"157",1.62629189617762
"158",-2.16619183028874
"159",-0.946044256948185
"160",-0.577716347120104
"161",-1.47965614535079
"162",1.22910715606899
"163",-2.0504150698149
"164",-2.24492824603933
"165",0.318664458751387
"166",-2.23802872168001
"167",0.0243885979725122
"168",-0.556478785034707
"169",-0.0730126121577217
"170",0.627373527865412
"171",0.344116692303317
"172",0.0559866935775361
"173",0.036462816950392
"174",-0.918144138576206
"175",-0.213068248005339
"176",-0.624440036902057
"177",-0.766619563954539
"178",0.206241162829292
"179",1.34843537951584
"180",0.509574144165323
"181",1.05395195870818
"182",-0.271421127408673
"183",-0.635918871186595
"184",-0.805167440088536
"185",0.450312637864196
"186",-0.882152594684643
"187",0.385766009992967
"188",-0.209416857434592
"189",-0.825909650828831
"190",-0.298983811408288
"191",-1.09109543729611
"192",0.244462821351901
"193",-1.09944791613501
"194",-0.5668755955773
"195",-0.0660369764709261
"196",-0.283262965862311
"197",0.271080931325713
"198",-0.743085746644832
"199",-0.442540372591916
"200",-2.30172937226814
"201",-0.513531563954036
"202",0.669645487209974
"203",-1.44085783944448
"204",1.11881692117896
"205",1.03028678399211
"206",-2.01822969532918
"207",0.592419950990344
"208",-0.879633136833131
"209",-1.42264562977778
"210",-0.334220421575643
"211",-0.882648956436318
"212",1.57195143241539
"213",-1.16997384748572
"214",-1.53193403861597
"215",-1.72809936335701
"216",-0.959757599670879
"217",1.01788932934307
"218",-1.4698895019965
"219",-1.89659181158345
"220",-0.185190719133109
"221",-1.94768950016179
"222",-0.126262346965529
"223",-0.174086589883514
"224",-0.242976086336006
"225",-0.47445831957923
"226",-1.62345992226895
"227",-1.22928874444908
"228",-2.11884178822495
"229",-0.352871319437921
"230",0.965987078144115
"231",-1.25829419742302
"232",0.0432207254094109
"233",-1.23994665380416
"234",-0.102457292279835
"235",-3.2583228861759
"236",-1.19996728788181
"237",-0.366045079545703
"238",-0.87782665176676
"239",-0.961741158092732
"240",-2.30481473781865
"241",-1.07856138666461
"242",1.08504786130434
"243",0.0859164743996095
"244",0.23509438611666
"245",-2.34184969863333
"246",-0.243257077997133
"247",-2.2417991208516
"248",-1.37900046074133
"249",-1.01072007416605
"250",0.160604781900953
"251",0.843189032010958
"252",-0.067849598211781
"253",-1.17755950455941
"254",-0.093027542004852
"255",-1.68243805076137
"256",-0.352239476017342
"257",-1.0727118068852
"258",-1.92755186991456
"259",0.0318984219099233
"260",-1.82131852883521
"261",0.148889183812064
"262",-0.824091753963035
"263",-1.75908894585245
"264",-0.295415550638976
"265",0.205276410679273
"266",-0.671589851803732
"267",0.774092817302989
"268",-0.611131036020949
"269",-0.0158984304685959
"270",-0.0198144495117737
"271",-0.836251197803415
"272",0.50380184143672
"273",-1.62248090556107
"274",-0.697336726927101
"275",0.500183476252433
"276",-1.20244023564192
"277",-0.69354153745487
"278",-1.24063022260179
"279",1.60089363510118
"280",-1.37736713530741
"281",0.503292258512239
"282",-1.79216085348396
"283",0.0340448888482633
"284",-0.845775402326227
"285",-1.56987510586761
"286",-2.72589588382708
"287",-1.53060839835822
"288",-1.62102700840264
"289",-1.30748550950624
"290",-0.0418937979372469
"291",1.0180793114746
"292",-0.962915326715695
"293",-1.63423887240227
"294",-2.28648995132571
"295",-1.01969582068576
"296",-0.740946705398791
"297",-1.98450397606244
"298",-2.82940879970964
"299",-1.68867548002764
"300",-0.930099215170251
"301",-2.75423175155329
"302",-0.713737272680464
"303",-1.73793839276168
"304",-1.3215456482056
"305",-1.17104098291841
"306",-0.963729031711959
"307",-1.74443199386684
"308",-0.154054717849575
"309",-0.978541627384027
"310",-1.90699235236627
"311",-1.01163725727007
"312",-1.29016210790153
"313",0.0259094214216982
"314",-1.27830124062409
"315",-0.618871186831125
"316",-2.1637776357429
"317",-0.63803126052755
"318",0.0673056493985139
"319",-1.07005257203127
"320",-1.33272723685693
"321",0.42471543684953
"322",-2.0019813567522
"323",0.155117791203899
"324",-1.1757707398294
"325",-0.256745374429985
"326",-0.136246906833659
"327",-3.29471102510536
"328",-0.19845775714606
"329",1.00375389673469
"330",-1.38728576294978
"331",-1.73239335740273
"332",-1.7803118045367
"333",-0.072365196205232
"334",-2.35942565551375
"335",-2.742944469733
"336",-0.0457723682608404
"337",-1.42597066510748
"338",-0.461218779473572
"339",-1.6925031997583
"340",-2.8352065392879
"341",-1.52182519520387
"342",-2.48624193735524
"343",-1.96973127652234
"344",-0.526966136704357
"345",-3.06735596177
"346",-2.35599619329753
"347",0.0697382651450475
"348",-0.849292976238541
"349",-0.720512267496509
"350",-1.33064317389862
"351",-1.92517634141741
"352",-0.804502240265815
"353",-1.0918435331879
"354",-1.99010579410046
"355",-0.139237307319582
"356",-0.294506295118748
"357",-0.129643512839753
"358",-2.32673045172276
"359",-2.03553710800793
"360",-0.95992572924655
"361",-1.29375934352116
"362",-2.17689227180083
"363",0.191267825103985
"364",-0.941576130924192
"365",-0.894027809716777
"366",-0.824543834912515
"367",-1.34070253126371
"368",-1.50666085238832
"369",-3.02075450004208
"370",-1.20747058012085
"371",-0.935491462206316
"372",-3.21734531246923
"373",-0.790546486591426
